airline_id,name,iata,icao,callsign,country,logo_svg_url,logo_png_url
1,1Time Airline,1T,RNX,NEXTIME,South Africa,https://d26to83vtzzpey.cloudfront.net/1T.svg,https://d39ferq6cuvala.cloudfront.net/1T.png
2,40-Mile Air,Q5,MLA,MILE-AIR,United States,https://d26to83vtzzpey.cloudfront.net/Q5.svg,https://d39ferq6cuvala.cloudfront.net/Q5.png
3,Ansett Australia,AN,AAA,ANSETT,Australia,https://d26to83vtzzpey.cloudfront.net/AN.svg,https://d39ferq6cuvala.cloudfront.net/AN.png
5,Aigle Azur,ZI,AAF,AIGLE AZUR,France,https://d26to83vtzzpey.cloudfront.net/ZI.svg,https://d39ferq6cuvala.cloudfront.net/ZI.png
6,Aloha Airlines,AQ,AAH,ALOHA,United States,https://d26to83vtzzpey.cloudfront.net/AQ.svg,https://d39ferq6cuvala.cloudfront.net/AQ.png
7,American Airlines,AA,AAL,AMERICAN,United States,https://d26to83vtzzpey.cloudfront.net/AA.svg,https://d39ferq6cuvala.cloudfront.net/AA.png
8,Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,https://d26to83vtzzpey.cloudfront.net/OZ.svg,https://d39ferq6cuvala.cloudfront.net/OZ.png
9,Askari Aviation,4K,AAS,AL-AAS,Pakistan,https://d26to83vtzzpey.cloudfront.net/4K.svg,https://d39ferq6cuvala.cloudfront.net/4K.png
10,Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,https://d26to83vtzzpey.cloudfront.net/8U.svg,https://d39ferq6cuvala.cloudfront.net/8U.png
11,Allegiant Air,G4,AAY,ALLEGIANT,United States,https://d26to83vtzzpey.cloudfront.net/G4.svg,https://d39ferq6cuvala.cloudfront.net/G4.png
12,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,https://d26to83vtzzpey.cloudfront.net/M3.svg,https://d39ferq6cuvala.cloudfront.net/M3.png
13,Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,https://d26to83vtzzpey.cloudfront.net/8V.svg,https://d39ferq6cuvala.cloudfront.net/8V.png
14,Air Tindi,8T,Null,Null,Canadian Territories,https://d26to83vtzzpey.cloudfront.net/8T.svg,https://d39ferq6cuvala.cloudfront.net/8T.png
15,Ada Air,ZY,ADE,ADA AIR,Albania,https://d26to83vtzzpey.cloudfront.net/ZY.svg,https://d39ferq6cuvala.cloudfront.net/ZY.png
16,Adria Airways,JP,ADR,ADRIA,Slovenia,https://d26to83vtzzpey.cloudfront.net/JP.svg,https://d39ferq6cuvala.cloudfront.net/JP.png
17,Air Europa,UX,AEA,EUROPA,Spain,https://d26to83vtzzpey.cloudfront.net/UX.svg,https://d39ferq6cuvala.cloudfront.net/UX.png
18,Aero Benin,EM,AEB,AEROBEN,Benin,https://d26to83vtzzpey.cloudfront.net/EM.svg,https://d39ferq6cuvala.cloudfront.net/EM.png
19,Aegean Airlines,A3,AEE,AEGEAN,Greece,https://d26to83vtzzpey.cloudfront.net/A3.svg,https://d39ferq6cuvala.cloudfront.net/A3.png
20,Air Europe,PE,AEL,AIR EUROPE,Italy,https://d26to83vtzzpey.cloudfront.net/PE.svg,https://d39ferq6cuvala.cloudfront.net/PE.png
21,Alaska Central Express,KO,AER,ACE AIR,United States,https://d26to83vtzzpey.cloudfront.net/KO.svg,https://d39ferq6cuvala.cloudfront.net/KO.png
22,Astraeus,5W,AEU,FLYSTAR,United Kingdom,https://d26to83vtzzpey.cloudfront.net/5W.svg,https://d39ferq6cuvala.cloudfront.net/5W.png
23,Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,https://d26to83vtzzpey.cloudfront.net/VV.svg,https://d39ferq6cuvala.cloudfront.net/VV.png
24,Air Italy,I9,AEY,AIR ITALY,Italy,https://d26to83vtzzpey.cloudfront.net/I9.svg,https://d39ferq6cuvala.cloudfront.net/I9.png
25,Alliance Airlines,QQ,UTY,UNITY,Australia,https://d26to83vtzzpey.cloudfront.net/QQ.svg,https://d39ferq6cuvala.cloudfront.net/QQ.png
26,Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,https://d26to83vtzzpey.cloudfront.net/FG.svg,https://d39ferq6cuvala.cloudfront.net/FG.png
27,Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,https://d26to83vtzzpey.cloudfront.net/SU.svg,https://d39ferq6cuvala.cloudfront.net/SU.png
28,Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,https://d26to83vtzzpey.cloudfront.net/JA.svg,https://d39ferq6cuvala.cloudfront.net/JA.png
29,Air France,AF,AFR,AIRFRANS,France,https://d26to83vtzzpey.cloudfront.net/AF.svg,https://d39ferq6cuvala.cloudfront.net/AF.png
30,Air Caledonie International,SB,ACI,AIRCALIN,France,https://d26to83vtzzpey.cloudfront.net/SB.svg,https://d39ferq6cuvala.cloudfront.net/SB.png
31,Air Salone,2O,Null,Null,Sierra Leone,https://d26to83vtzzpey.cloudfront.net/2O.svg,https://d39ferq6cuvala.cloudfront.net/2O.png
32,Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,https://d26to83vtzzpey.cloudfront.net/2Q.svg,https://d39ferq6cuvala.cloudfront.net/2Q.png
33,Air Namibia,SW,NMB,NAMIBIA,Namibia,https://d26to83vtzzpey.cloudfront.net/SW.svg,https://d39ferq6cuvala.cloudfront.net/SW.png
34,Aerolitoral,5D,SLI,COSTERA,Mexico,https://d26to83vtzzpey.cloudfront.net/5D.svg,https://d39ferq6cuvala.cloudfront.net/5D.png
35,Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland,https://d26to83vtzzpey.cloudfront.net/7T.svg,https://d39ferq6cuvala.cloudfront.net/7T.png
36,Aeroper,PL,PLI,Aeroperu,Peru,https://d26to83vtzzpey.cloudfront.net/PL.svg,https://d39ferq6cuvala.cloudfront.net/PL.png
37,Atlas Blue,8A,BMM,ATLAS BLUE,Morocco,https://d26to83vtzzpey.cloudfront.net/8A.svg,https://d39ferq6cuvala.cloudfront.net/8A.png
38,Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan,https://d26to83vtzzpey.cloudfront.net/J2.svg,https://d39ferq6cuvala.cloudfront.net/J2.png
39,Avies,U3,AIA,AVIES,Estonia,https://d26to83vtzzpey.cloudfront.net/U3.svg,https://d39ferq6cuvala.cloudfront.net/U3.png
40,Airblue,ED,ABQ,PAKBLUE,Pakistan,https://d26to83vtzzpey.cloudfront.net/ED.svg,https://d39ferq6cuvala.cloudfront.net/ED.png
41,Air Berlin,AB,BER,AIR BERLIN,Germany,https://d26to83vtzzpey.cloudfront.net/AB.svg,https://d39ferq6cuvala.cloudfront.net/AB.png
42,Air India Limited,AI,AIC,AIRINDIA,India,https://d26to83vtzzpey.cloudfront.net/AI.svg,https://d39ferq6cuvala.cloudfront.net/AI.png
43,Air Bourbon,ZB,BUB,BOURBON,Reunion,https://d26to83vtzzpey.cloudfront.net/ZB.svg,https://d39ferq6cuvala.cloudfront.net/ZB.png
44,Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland,https://d26to83vtzzpey.cloudfront.net/CC.svg,https://d39ferq6cuvala.cloudfront.net/CC.png
45,Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France,https://d26to83vtzzpey.cloudfront.net/TN.svg,https://d39ferq6cuvala.cloudfront.net/TN.png
46,Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel,https://d26to83vtzzpey.cloudfront.net/IZ.svg,https://d39ferq6cuvala.cloudfront.net/IZ.png
47,Air Jamaica,JM,AJM,JAMAICA,Jamaica,https://d26to83vtzzpey.cloudfront.net/JM.svg,https://d39ferq6cuvala.cloudfront.net/JM.png
48,Air One,AP,ADH,JAMAICA,Italy,https://d26to83vtzzpey.cloudfront.net/AP.svg,https://d39ferq6cuvala.cloudfront.net/AP.png
49,Air Sahara,S2,RSH,SAHARA,India,https://d26to83vtzzpey.cloudfront.net/S2.svg,https://d39ferq6cuvala.cloudfront.net/S2.png
50,Air Malta,KM,AMC,AIR MALTA,Malta,https://d26to83vtzzpey.cloudfront.net/KM.svg,https://d39ferq6cuvala.cloudfront.net/KM.png
51,Air Japan,NQ,AJX,AIR JAPAN,Japan,https://d26to83vtzzpey.cloudfront.net/NQ.svg,https://d39ferq6cuvala.cloudfront.net/NQ.png
52,Air Kiribati,4A,AKL,Null,Kiribati,https://d26to83vtzzpey.cloudfront.net/4A.svg,https://d39ferq6cuvala.cloudfront.net/4A.png
53,America West Airlines,HP,AWE,CACTUS,United States,https://d26to83vtzzpey.cloudfront.net/HP.svg,https://d39ferq6cuvala.cloudfront.net/HP.png
54,Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,https://d26to83vtzzpey.cloudfront.net/ZW.svg,https://d39ferq6cuvala.cloudfront.net/ZW.png
55,Tatarstan Airlines,U9,TAK,TATARSTAN,Russia,https://d26to83vtzzpey.cloudfront.net/U9.svg,https://d39ferq6cuvala.cloudfront.net/U9.png
56,Air Libert,VD,Null,Null,France,https://d26to83vtzzpey.cloudfront.net/VD.svg,https://d39ferq6cuvala.cloudfront.net/VD.png
57,Air Malawi,QM,AML,MALAWI,Malawi,https://d26to83vtzzpey.cloudfront.net/QM.svg,https://d39ferq6cuvala.cloudfront.net/QM.png
58,Air Sicilia,BM,Null,Null,Italy,https://d26to83vtzzpey.cloudfront.net/BM.svg,https://d39ferq6cuvala.cloudfront.net/BM.png
59,Air Macau,NX,AMU,AIR MACAO,Macao,https://d26to83vtzzpey.cloudfront.net/NX.svg,https://d39ferq6cuvala.cloudfront.net/NX.png
60,Air Seychelles,HM,SEY,SEYCHELLES,Seychelles,https://d26to83vtzzpey.cloudfront.net/HM.svg,https://d39ferq6cuvala.cloudfront.net/HM.png
61,AeroMéxico,AM,AMX,AEROMEXICO,Mexico,https://d26to83vtzzpey.cloudfront.net/AM.svg,https://d39ferq6cuvala.cloudfront.net/AM.png
62,All Nippon Airways,NH,ANA,ALL NIPPON,Japan,https://d26to83vtzzpey.cloudfront.net/NH.svg,https://d39ferq6cuvala.cloudfront.net/NH.png
63,Air Nostrum,YW,ANE,AIR NOSTRUM,Spain,https://d26to83vtzzpey.cloudfront.net/YW.svg,https://d39ferq6cuvala.cloudfront.net/YW.png
64,Air Niugini,PX,ANG,NUIGINI,Papua New Guinea,https://d26to83vtzzpey.cloudfront.net/PX.svg,https://d39ferq6cuvala.cloudfront.net/PX.png
65,Air Arabia,G9,ABY,ARABIA,United Arab Emirates,https://d26to83vtzzpey.cloudfront.net/G9.svg,https://d39ferq6cuvala.cloudfront.net/G9.png
66,Air Canada,AC,ACA,AIR CANADA,Canada,https://d26to83vtzzpey.cloudfront.net/AC.svg,https://d39ferq6cuvala.cloudfront.net/AC.png
67,Air Baltic,BT,BTI,AIRBALTIC,Latvia,https://d26to83vtzzpey.cloudfront.net/BT.svg,https://d39ferq6cuvala.cloudfront.net/BT.png
68,Air Nippon,EL,ANK,ANK AIR,Japan,https://d26to83vtzzpey.cloudfront.net/EL.svg,https://d39ferq6cuvala.cloudfront.net/EL.png
69,Airnorth,TL,ANO,TOPEND,Australia,https://d26to83vtzzpey.cloudfront.net/TL.svg,https://d39ferq6cuvala.cloudfront.net/TL.png
70,Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,https://d26to83vtzzpey.cloudfront.net/4N.svg,https://d39ferq6cuvala.cloudfront.net/4N.png
71,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand,https://d26to83vtzzpey.cloudfront.net/NZ.svg,https://d39ferq6cuvala.cloudfront.net/NZ.png
72,Alitalia Express,XM,SMX,ALIEXPRESS,Italy,https://d26to83vtzzpey.cloudfront.net/XM.svg,https://d39ferq6cuvala.cloudfront.net/XM.png
73,Aero Flight,GV,ARF,Aero Fox,Germany,https://d26to83vtzzpey.cloudfront.net/GV.svg,https://d39ferq6cuvala.cloudfront.net/GV.png
74,Arrow Air,JW,APW,BIG A,United States,https://d26to83vtzzpey.cloudfront.net/JW.svg,https://d39ferq6cuvala.cloudfront.net/JW.png
75,Aerocondor,2B,ARD,AEROCONDOR,Portugal,https://d26to83vtzzpey.cloudfront.net/2B.svg,https://d39ferq6cuvala.cloudfront.net/2B.png
