AirportName,Latitude,Longitude,Continent,IsoCountry,IsoRegion,City,GpsCode,IataCode
28 de Noviembre Airport,-51.605,-72.2203,SA,AR,AR-Z,Rio Turbio,SAWT,RYO
9 de Maio - Teixeira de Freitas Airport,-17.52449989,-39.66849899,SA,BR,BR-BA,Teixeira De Freitas,SNTF,TXF
AA Bere Tallo (Haliwen) Airport,-9.074841,124.903285,AS,ID,ID-NT,Atambua,WATA,ABU
Aachen-Merzbrück Airport,50.823055,6.186389,EU,DE,DE-NW,Aachen,EDKA,AAH
Aalborg Airport,57.092759,9.849243,EU,DK,DK-81,Aalborg,EKYT,AAL
Aarhus Airport,56.303331,10.618286,EU,DK,DK-82,Aarhus,EKAH,AAR
Aasiaat Airport,68.721802,-52.784698,NA,GL,GL-QK,Aasiaat,BGAA,JEG
Abadan Airport,30.367887,48.230075,AS,IR,IR-06,Abadan,OIAA,ABD
Abaiang Airport,1.79861,173.041,OC,KI,KI-G,Abaiang,NGAB,ABF
Abakan International Airport,53.740002,91.385002,EU,RU,RU-KK,Abakan,UNAA,ABA
Aba Tenna Dejazmach Yilma International Airport,9.624699593,41.85419846,AF,ET,ET-DD,Dire Dawa,HADR,DIR
Abbaye Airport,16.63331413,-14.20000076,AF,MR,MR-05,Boghe,GQNE,BGH
Abbotsford International Airport,49.025299,-122.361,NA,CA,CA-BC,Abbotsford,CYXX,YXX
Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,AF,DZ,DZ-14,Tiaret,DAOB,TID
Abdul Rachman Saleh Airport,-7.929099,112.714233,AS,ID,ID-JI,Malang,WARA,MLG
Abeche Airport,13.847,20.844299,AF,TD,TD-OD,Abeche,FTTC,AEH
Abeid Amani Karume International Airport,-6.22202,39.224899,AF,TZ,TZ-07,Zanzibar,HTZA,ZNZ
Abel Santamaria Airport,22.49220085,-79.94360352,NA,CU,CU-05,Santa Clara,MUSC,SNU
Abemama Airport,0.490759,173.830287,OC,KI,KI-G,Abemama,NGTB,AEA
Abengourou Airport,6.715559959,-3.470279932,AF,CI,CI-CM,Abengourou,DIAU,OGO
Aberdeen Dyce Airport,57.2019,-2.19778,EU,GB,GB-SCT,Aberdeen,EGPD,ABZ
Aberdeen Regional Airport,45.44910049,-98.42179871,NA,US,US-SD,Aberdeen,KABR,ABR
Abha International Airport,18.2404,42.656601,AS,SA,SA-14,Abha,OEAB,AHB
Abilene Regional Airport,32.41130066,-99.68190002,NA,US,US-TX,Abilene,KABI,ABI
Aboisso Airport,5.461944,-3.234722,AF,CI,CI-CM,Aboisso,DIAO,ABO
Abraham González International Airport,31.63610077,-106.4290009,NA,MX,MX-CHH,Ciudad Juárez,MMCS,CJS
Abraham Lincoln Capital Airport,39.844101,-89.677902,NA,US,US-IL,Springfield,KSPI,SPI
Abresso Airport,-1.496771,134.175,AS,ID,ID-PB,Ransiki-Papua Island,WASC,RSK
Abruzzo Airport,42.431702,14.1811,EU,IT,IT-65,Pescara,LIBP,PSR
Abs Airport,16.010983,43.176771,AS,YE,YE-SN,Abs,OYAB,EAB
Abu Dhabi International Airport,24.443764,54.651718,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH
Abu Musa Island Airport,25.8757,55.033001,AS,IR,IR-22,Abu Musa,OIBA,AEU
Abu Simbel Airport,22.367657,31.609962,AF,EG,EG-ASN,Abu Simbel,HEBL,ABS
Acadiana Regional Airport,30.0378,-91.883904,NA,US,US-LA,New Iberia,KARA,ARA
Accomack County Airport,37.64690018,-75.76110077,NA,US,US-VA,Melfa,KMFV,MFV
Achinsk Airport,56.269185,90.57511,EU,RU,RU-KYA,Achinsk,UNKS,ACS
